# x,y,z,Ex,Ey,Ez
-1.175021199999999943e+01,-1.125720600000000005e+01,-1.298381200000000035e+01,-1.169651600000000055e-02,-1.158096999999999946e-02,-1.275117299999999933e-02
-1.125021199999999943e+01,-1.125720600000000005e+01,-1.298381200000000035e+01,-1.169270600000000063e-02,-1.207380700000000064e-02,-1.328083499999999952e-02
-1.075021199999999943e+01,-1.125720600000000005e+01,-1.298381200000000035e+01,-1.166087199999999921e-02,-1.254388099999999978e-02,-1.379391200000000019e-02
-1.025021199999999943e+01,-1.125720600000000005e+01,-1.298381200000000035e+01,-1.157685100000000085e-02,-1.300677199999999978e-02,-1.430054799999999973e-02
-9.750212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-1.145663000000000063e-02,-1.351925500000000085e-02,-1.486373600000000066e-02
-9.250212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-1.129805000000000045e-02,-1.399333699999999979e-02,-1.538165799999999944e-02
-8.750212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-1.105921300000000003e-02,-1.447470300000000022e-02,-1.590654799999999952e-02
-8.250212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-1.077481899999999972e-02,-1.499154899999999985e-02,-1.646734199999999940e-02
-7.750212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-1.045288699999999925e-02,-1.550408600000000026e-02,-1.702511500000000039e-02
-7.250212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-1.008439600000000068e-02,-1.601913599999999979e-02,-1.758727100000000154e-02
-6.750212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-9.673382200000000403e-03,-1.653153300000000103e-02,-1.813903600000000074e-02
-6.250212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-9.216156799999999927e-03,-1.702466799999999975e-02,-1.867346699999999915e-02
-5.750212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-8.697251799999999866e-03,-1.748260899999999965e-02,-1.917708300000000102e-02
-5.250212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-8.122834400000000787e-03,-1.792372199999999957e-02,-1.965480500000000089e-02
-4.750212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-7.492869600000000296e-03,-1.834865299999999949e-02,-2.011527899999999980e-02
-4.250212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-6.816795999999999967e-03,-1.875033799999999834e-02,-2.055308999999999955e-02
